# x z Fx[N] Fy[N] Fz[N]
0.00857143 0.00857143 8.45942e-15 -1.05054e-23 -7.62622e-17
0.00857143 0.0128571 6.9218e-15 -5.25051e-24 4.31871e-16
0.00857143 0.0171429 3.36024e-15 -1.01636e-24 3.33953e-16
0.00857143 0.0214286 9.39059e-16 6.23767e-25 2.29449e-16
0.00857143 0.0257143 9.77117e-17 5.4632e-25 2.48624e-16
0.00857143 0.03 3.49174e-17 1.62909e-25 2.70628e-16

0.0128571 -0.03 -4.07697e-16 -1.03913e-24 1.09063e-15
0.0128571 -0.0257143 -1.9311e-16 -3.23277e-24 1.83452e-15
0.0128571 -0.0214286 4.04297e-17 -8.08051e-24 3.03597e-15
0.0128571 -0.0171429 -2.84454e-15 -1.71169e-23 6.37392e-15
0.0128571 -0.0128571 -6.6711e-15 -3.4209e-23 9.99242e-15
0.0128571 -0.00857143 -8.72894e-15 -4.14413e-23 1.06457e-14
0.0128571 -0.00428571 -8.32664e-15 -2.56998e-23 9.49187e-15
0.0128571 3.46945e-18 -4.63638e-15 -3.71284e-24 8.71036e-15
0.0128571 0.00428571 1.1446e-15 6.54532e-24 7.67123e-15
0.0128571 0.00857143 5.57597e-15 5.73983e-24 5.38092e-15
0.0128571 0.0128571 6.54885e-15 1.97515e-24 2.61033e-15
0.0128571 0.0171429 4.86378e-15 -3.73907e-25 6.67515e-16
0.0128571 0.0214286 2.5636e-15 -9.66224e-25 -5.47913e-17
0.0128571 0.0257143 9.83926e-16 -6.97763e-25 -1.50748e-17
0.0128571 0.03 3.09998e-16 -2.76948e-25 2.0148e-16

0.0171429 -0.03 -2.99431e-16 -3.98256e-24 2.03803e-15
0.0171429 -0.0257143 -6.93291e-16 -6.93592e-24 2.16678e-15
0.0171429 -0.0214286 -2.09469e-15 -1.2906e-23 4.70883e-15
0.0171429 -0.0171429 -3.18405e-15 -4.22651e-23 8.34537e-15
0.0171429 -0.0128571 -6.32008e-15 -7.40796e-23 6.97827e-15
0.0171429 -0.00857143 -1.16883e-14 -6.05286e-23 2.10129e-15
0.0171429 -0.00428571 -1.18525e-14 -2.00163e-23 8.93003e-17
0.0171429 3.46945e-18 -5.09039e-15 1.4336e-24 1.74004e-15
0.0171429 0.00428571 2.1722e-15 9.884e-25 3.57426e-15
0.0171429 0.00857143 5.90026e-15 -2.46872e-24 3.74526e-15
0.0171429 0.0128571 6.60648e-15 -2.21071e-24 2.79472e-15
0.0171429 0.0171429 5.58335e-15 -8.59753e-25 1.70721e-15
0.0171429 0.0214286 3.74707e-15 -2.85131e-25 9.5456e-16
0.0171429 0.0257143 1.9747e-15 -2.91854e-25 5.68869e-16
0.0171429 0.03 8.46109e-16 -3.85044e-25 4.0776e-16

0.0214286 -0.03 -9.9558e-16 -3.94568e-24 2.35797e-15
0.0214286 -0.0257143 -7.86248e-16 -7.76937e-24 2.83679e-15
0.0214286 -0.0214286 -2.56157e-15 -1.28669e-23 3.82363e-15
0.0214286 -0.0171429 -5.37138e-15 -3.11628e-23 5.35241e-15
0.0214286 -0.0128571 -8.17124e-15 -4.80896e-23 4.59093e-15
0.0214286 -0.00857143 -8.77801e-15 -4.05399e-23 1.30053e-15
0.0214286 -0.00428571 -5.08706e-15 -2.22835e-23 -4.43266e-16
0.0214286 3.46945e-18 -7.54329e-16 -8.057e-24 1.43154e-15
0.0214286 0.00428571 1.25489e-15 1.86011e-24 4.45964e-15
0.0214286 0.00857143 2.26536e-15 6.62165e-24 5.67087e-15
0.0214286 0.0128571 3.45168e-15 5.92172e-24 4.65395e-15
0.0214286 0.0171429 4.16427e-15 2.98501e-24 2.77635e-15
0.0214286 0.0214286 3.75451e-15 7.74385e-25 1.29235e-15
0.0214286 0.0257143 2.55616e-15 -8.11992e-26 5.73267e-16
0.0214286 0.03 1.34351e-15 -1.83087e-25 3.91423e-16

0.0257143 -0.03 -1.26815e-15 -2.98822e-24 1.80653e-15
0.0257143 -0.0257143 -2.03989e-15 -3.49225e-24 1.9779e-15
0.0257143 -0.0214286 -3.17613e-15 -1.21042e-24 3.04272e-15
0.0257143 -0.0171429 -3.66829e-15 -1.85512e-23 3.02888e-15
0.0257143 -0.0128571 -5.25897e-15 -3.37067e-23 1.36668e-15
0.0257143 -0.00857143 -5.34855e-15 -2.37622e-23 -2.00242e-16
0.0257143 -0.00428571 -2.91764e-15 -9.28356e-24 -5.82207e-16
0.0257143 3.46945e-18 -4.81643e-16 -4.73682e-24 -2.84768e-16
0.0257143 0.00428571 1.6105e-15 -5.2907e-24 5.17164e-16
0.0257143 0.00857143 3.54832e-15 -4.92724e-24 1.77774e-15
0.0257143 0.0128571 4.59363e-15 -2.56806e-24 2.74275e-15
0.0257143 0.0171429 4.51471e-15 2.4723e-26 2.78412e-15
0.0257143 0.0214286 3.74143e-15 1.33727e-24 2.10979e-15
0.0257143 0.0257143 2.70576e-15 1.35241e-24 1.32934e-15
0.0257143 0.03 1.69775e-15 8.22917e-25 8.23392e-16

0.03 -0.03 -1.47614e-15 1.87382e-24 1.55285e-15
0.03 -0.0257143 -1.72776e-15 1.07727e-23 1.18354e-15
0.03 -0.0214286 -2.17836e-15 2.86464e-23 8.83433e-16
0.03 -0.0171429 -3.07129e-15 1.53731e-23 2.21781e-15
0.03 -0.0128571 -4.82932e-15 -7.60289e-24 2.19666e-15
0.03 -0.00857143 -4.20882e-15 -1.17998e-23 4.01277e-16
0.03 -0.00428571 -2.32716e-15 -5.63616e-24 -1.95013e-16
0.03 3.46945e-18 -1.29726e-15 2.42094e-26 8.63411e-16
0.03 0.00428571 -4.01765e-16 2.06166e-24 2.15681e-15
0.03 0.00857143 9.78175e-16 1.46125e-24 2.86504e-15
0.03 0.0128571 2.41233e-15 4.23891e-25 2.93482e-15
0.03 0.0171429 3.28866e-15 3.06776e-26 2.53019e-15
0.03 0.0214286 3.36422e-15 1.43512e-25 1.86121e-15
0.03 0.0257143 2.80854e-15 3.30871e-25 1.186e-15
0.03 0.03 1.97325e-15 3.99035e-25 7.14653e-16

