# frequency radius F_z
11275.2 0.0017651 8.05686463159444e-18
11275.2 0.00189262 1.22502366775072e-17
11275.2 0.00202013 1.81251723257315e-17
11275.2 0.00214765 2.61837256645457e-17
11275.2 0.00227517 3.70333665112275e-17
11275.2 0.00240268 5.14010031156535e-17
11275.2 0.0025302 7.01479414809906e-17
11275.2 0.00265772 9.42857952200634e-17
11275.2 0.00278523 1.24993360631143e-16
11275.2 0.00291275 1.63634472445901e-16
11275.2 0.00304027 2.11776856442088e-16
11275.2 0.00316779 2.71211995853617e-16
11275.2 0.0032953 3.43976029233689e-16
11275.2 0.00342282 4.32371698127109e-16
11275.2 0.00355034 5.38991363576913e-16
11275.2 0.00367785 6.66741111173794e-16
11275.2 0.00380537 8.18865964957906e-16
11275.2 0.00393289 9.98976231093485e-16
11275.2 0.0040604 1.21107499281581e-15
11275.2 0.00418792 1.45958677863048e-15
11275.2 0.00431544 1.74938742627908e-15
11275.2 0.00444295 2.08583516536599e-15
11275.2 0.00457047 2.47480294194016e-15
11275.2 0.00469799 2.92271200863254e-15
11275.2 0.0048255 3.43656680418520e-15
11275.2 0.00495302 4.02399114637807e-15
11275.2 0.00508054 4.69326576243554e-15
11275.2 0.00520805 5.45336718098467e-15
11275.2 0.00533557 6.31400800952703e-15
11275.2 0.00546309 7.28567862113574e-15
11275.2 0.0055906 8.37969027376700e-15
11275.2 0.00571812 9.60821968505658e-15
11275.2 0.00584564 1.09843550848560e-14
11275.2 0.00597315 1.25221437669604e-14
11275.2 0.00610067 1.42366411604947e-14
11275.2 0.00622819 1.61439614402749e-14
11275.2 0.0063557 1.82613296940820e-14
11275.2 0.00648322 2.06071356631752e-14
11275.2 0.00661074 2.32009890705831e-14
11275.2 0.00673826 2.60637765495133e-14
11275.2 0.00686577 2.92177201819330e-14
11275.2 0.00699329 3.26864376546382e-14
11275.2 0.00712081 3.64950040370847e-14
11275.2 0.00724832 4.06700151819473e-14
11275.2 0.00737584 4.52396527455623e-14
11275.2 0.00750336 5.02337508212955e-14
11275.2 0.00763087 5.56838641742932e-14
11275.2 0.00775839 6.16233380609641e-14
11275.2 0.00788591 6.80873796111742e-14
11275.2 0.00801342 7.51131307448061e-14
11275.2 0.00814094 8.27397425880273e-14
11275.2 0.00826846 9.10084513471662e-14
11275.2 0.00839597 9.99626555904301e-14
11275.2 0.00852349 1.09647994879140e-13
11275.2 0.00865101 1.20112429680981e-13
11275.2 0.00877852 1.31406322487988e-13
11275.2 0.00890604 1.43582520051111e-13
11275.2 0.00903356 1.56696436631942e-13
11275.2 0.00916107 1.70806138159776e-13
11275.2 0.00928859 1.85972427169000e-13
11275.2 0.00941611 2.02258928377749e-13
11275.2 0.00954362 2.19732174753778e-13
11275.2 0.00967114 2.38461693897328e-13
11275.2 0.00979866 2.58520094554045e-13
11275.2 0.00992617 2.79983153052670e-13
11275.2 0.0100537 3.02929899443330e-13
11275.2 0.0101812 3.27442703092064e-13
11275.2 0.0103087 3.53607357465850e-13
11275.2 0.0104362 3.81513163820275e-13
11275.2 0.0105638 4.11253013478277e-13
11275.2 0.0106913 4.42923468364116e-13
11275.2 0.0108188 4.76624839430890e-13
11275.2 0.0109463 5.12461262593386e-13
11275.2 0.0110738 5.50540771750317e-13
11275.2 0.0112013 5.90975368451349e-13
11275.2 0.0113289 6.33881087734664e-13
11275.2 0.0114564 6.79378059630563e-13
11275.2 0.0115839 7.27590565795279e-13
11275.2 0.0117114 7.78647090707498e-13
11275.2 0.0118389 8.32680366827782e-13
11275.2 0.0119664 8.89827413088392e-13
11275.2 0.012094 9.50229566048368e-13
11275.2 0.0122215 1.01403250301568e-12
11275.2 0.012349 1.08138625640603e-12
11275.2 0.0124765 1.15244521857575e-12
11275.2 0.012604 1.22736813633489e-12
11275.2 0.0127315 1.30631809431686e-12
11275.2 0.0128591 1.38946248635195e-12
11275.2 0.0129866 1.47697297396557e-12
11275.2 0.0131141 1.56902543109728e-12
11275.2 0.0132416 1.66579987411509e-12
11275.2 0.0133691 1.76748037618077e-12
11275.2 0.0134966 1.87425496500683e-12
11275.2 0.0136242 1.98631550303550e-12
11275.2 0.0137517 2.10385754906412e-12
11275.2 0.0138792 2.22708020034074e-12
11275.2 0.0140067 2.35618591415993e-12
11275.2 0.0141342 2.49138030800099e-12
11275.2 0.0142617 2.63287193727093e-12
11275.2 0.0143893 2.78087204974247e-12
11275.2 0.0145168 2.93559431581451e-12
11275.2 0.0146443 3.09725453376894e-12
11275.2 0.0147718 3.26607030925420e-12
11275.2 0.0148993 3.44226070829389e-12
11275.2 0.0150268 3.62604588319773e-12
11275.2 0.0151544 3.81764667084380e-12
11275.2 0.0152819 4.01728416290417e-12
11275.2 0.0154094 4.22517924770436e-12
11275.2 0.0155369 4.44155212353666e-12
11275.2 0.0156644 4.66662178339264e-12
11275.2 0.0157919 4.90060547123768e-12
11275.2 0.0159195 5.14371811012427e-12
11275.2 0.016047 5.39617170262540e-12
11275.2 0.0161745 5.65817470427062e-12
11275.2 0.016302 5.92993137087954e-12
11275.2 0.0164295 6.21164108091333e-12
11275.2 0.016557 6.50349763420062e-12
11275.2 0.0166846 6.80568852864262e-12
11275.2 0.0168121 7.11839421675675e-12
11275.2 0.0169396 7.44178734418192e-12
11275.2 0.0170671 7.77603197253686e-12
11275.2 0.0171946 8.12128278929433e-12
11275.2 0.0173221 8.47768430760575e-12
11275.2 0.0174497 8.84537005928154e-12
11275.2 0.0175772 9.22446178439710e-12
11275.2 0.0177047 9.61506862125099e-12
11275.2 0.0178322 1.00172863006481e-11
11275.2 0.0179597 1.04311963487098e-11
11275.2 0.0180872 1.08568653026265e-11
11275.2 0.0182148 1.12943439439553e-11
11275.2 0.0183423 1.17436665542302e-11
11275.2 0.0184698 1.22048501977853e-11
11275.2 0.0185973 1.26778940367915e-11
11275.2 0.0187248 1.31627786835684e-11
11275.2 0.0188523 1.36594655952594e-11
11275.2 0.0189799 1.41678965159330e-11
11275.2 0.0191074 1.46879929711109e-11
11275.2 0.0192349 1.52196558196063e-11
11275.2 0.0193624 1.57627648673931e-11
11275.2 0.0194899 1.63171785480136e-11
11275.2 0.0196174 1.68827336737619e-11
11275.2 0.019745 1.74592452615696e-11
11275.2 0.0198725 1.80465064371477e-11
11275.2 0.02 1.86442884205302e-11

12550.3 0.001 4.08130632831342e-19
12550.3 0.00112752 8.38870464750413e-19
12550.3 0.00125503 1.59611915597803e-18
12550.3 0.00138255 2.85373900566800e-18
12550.3 0.00151007 4.84752514435652e-18
12550.3 0.00163758 7.88854117035449e-18
12550.3 0.0017651 1.23778072857866e-17
12550.3 0.00189262 1.88223583451172e-17
12550.3 0.00202013 2.78526907554270e-17
12550.3 0.00214765 4.02416186696856e-17
12550.3 0.00227517 5.69245614158836e-17
12550.3 0.00240268 7.90212855896613e-17
12550.3 0.0025302 1.07859126705150e-16
12550.3 0.00265772 1.44997716748156e-16
12550.3 0.00278523 1.92255245400800e-16
12550.3 0.00291275 2.51736284098913e-16
12550.3 0.00304027 3.25861203449898e-16
12550.3 0.00316779 4.17397215853717e-16
12550.3 0.0032953 5.29491076449633e-16
12550.3 0.00342282 6.65703476723446e-16
12550.3 0.00355034 8.30045166274342e-16
12550.3 0.00367785 1.02701483931916e-15
12550.3 0.00380537 1.26163882351177e-15
12550.3 0.00393289 1.53951260956629e-15
12550.3 0.0040604 1.86684426096998e-15
12550.3 0.00418792 2.25049974374514e-15
12550.3 0.00431544 2.69805021678106e-15
12550.3 0.00444295 3.21782132360181e-15
12550.3 0.00457047 3.81894452672268e-15
12550.3 0.00469799 4.51141052569023e-15
12550.3 0.0048255 5.30612479979411e-15
12550.3 0.00495302 6.21496531595594e-15
12550.3 0.00508054 7.25084244163054e-15
12550.3 0.00520805 8.42776110161811e-15
12550.3 0.00533557 9.76088521630251e-15
12550.3 0.00546309 1.12666044572862e-14
12550.3 0.0055906 1.29626033542706e-14
12550.3 0.00571812 1.48679327846171e-14
12550.3 0.00584564 1.70030838741039e-14
12550.3 0.00597315 1.93900643339332e-14
12550.3 0.00610067 2.20524772550812e-14
12550.3 0.00622819 2.50156023765271e-14
12550.3 0.0063557 2.83064798385978e-14
12550.3 0.00648322 3.19539964268021e-14
12550.3 0.00661074 3.59889743047691e-14
12550.3 0.00673826 4.04442622274011e-14
12550.3 0.00686577 4.53548292169331e-14
12550.3 0.00699329 5.07578606751917e-14
12550.3 0.00712081 5.66928568949952e-14
12550.3 0.00724832 6.32017339220963e-14
12550.3 0.00737584 7.03289267063633e-14
12550.3 0.00750336 7.81214944670658e-14
12550.3 0.00763087 8.66292281817411e-14
12550.3 0.00775839 9.59047600915209e-14
12550.3 0.00788591 1.06003675097569e-13
12550.3 0.00801342 1.16984623903485e-13
12550.3 0.00814094 1.28909437737122e-13
12550.3 0.00826846 1.41843244462039e-13
12550.3 0.00839597 1.55854585863700e-13
12550.3 0.00852349 1.71015535868607e-13
12550.3 0.00865101 1.87401819425581e-13
12550.3 0.00877852 2.05092931747232e-13
12550.3 0.00890604 2.24172257576554e-13
12550.3 0.00903356 2.44727190108127e-13
12550.3 0.00916107 2.66849249155678e-13
12550.3 0.00928859 2.90634198117861e-13
12550.3 0.00941611 3.16182159251788e-13
12550.3 0.00954362 3.43597726719187e-13
12550.3 0.00967114 3.72990076823236e-13
12550.3 0.00979866 4.04473074804870e-13
12550.3 0.00992617 4.38165377515878e-13
12550.3 0.0100537 4.74190531232729e-13
12550.3 0.0101812 5.12677063819450e-13
12550.3 0.0103087 5.53758570390481e-13
12550.3 0.0104362 5.97573791565579e-13
12550.3 0.0105638 6.44266683348455e-13
12550.3 0.0106913 6.93986477599328e-13
12550.3 0.0108188 7.46887732009654e-13
12550.3 0.0109463 8.03130368424759e-13
12550.3 0.0110738 8.62879698297975e-13
12550.3 0.0112013 9.26306433998546e-13
12550.3 0.0113289 9.93586684635438e-13
12550.3 0.0114564 1.06490193500147e-12
12550.3 0.0115839 1.14043900618708e-12
12550.3 0.0117114 1.22038999636213e-12
12550.3 0.0118389 1.30495220017733e-12
12550.3 0.0119664 1.39432800519709e-12
12550.3 0.012094 1.48872476374120e-12
12550.3 0.0122215 1.58835463848822e-12
12550.3 0.012349 1.69343442017741e-12
12550.3 0.0124765 1.80418531574120e-12
12550.3 0.012604 1.92083270520829e-12
12550.3 0.0127315 2.04360586573906e-12
12550.3 0.0128591 2.17273766119216e-12
12550.3 0.0129866 2.30846419567625e-12
12550.3 0.0131141 2.45102442961387e-12
12550.3 0.0132416 2.60065975693890e-12
12550.3 0.0133691 2.75761354216509e-12
